mb_norm_id,max_prob_all_reviews_for_MB,HT_max_lex_score,HT_avg_lex_score
26.15940:-80.25681#,1,24,2.05
27.94875:-82.50614#,1,23,3.14
26.19005:-80.11256#,1,21,1.9
28.65647:-81.33989#,1,18,2.25
26.09685:-80.13689#,0.99997,17,4.75
27.94514:-82.51678#,1,17,2.82
28.04587:-82.73772#,1,17,1.37
28.55342:-81.35795#,1,16,2.79
26.19038:-80.10438#,1,16,2.29
28.37833:-80.60498#,1,16,1.09
25.83997:-80.19228#,0.99999,14,1.19
26.70612:-80.11488#,1,13,1.97
25.76139:-80.33012#,1,13,1.73
26.31685:-80.12674#,1,13,1.08
26.27204:-80.25758#,0.99999,12,2.8
26.04566:-80.20841#,1,12,2.29
26.21096:-80.11791#,1,12,1.73
28.13694:-82.74186#,1,12,1.71
28.66163:-81.35464#1300,1,12,1.66
26.00605:-80.29253#,1,12,1.54
26.63101:-80.14488#,1,12,1.54
28.54349:-81.35217#,1,12,1.54
25.78102:-80.23967#,0.99999,12,1.46
25.96407:-80.17038#,1,12,1.46
26.62523:-80.08931#,1,12,1.32
28.48357:-81.45637#,1,12,1.21
26.35072:-80.08522#,1,12,1.04
26.15554:-80.11678#,0.99999,11,2.47
27.39976:-82.56505#,1,11,2.24
28.02784:-82.50540#,1,11,1.57
25.75052:-80.23902#,1,11,1.54
26.02425:-80.22218#,1,11,1.48
25.78004:-80.25500#201,1,11,1.06
26.03191:-80.20648#,0.99999,11,0.81
26.52845:-80.07804#111,1,10,2.81
29.18184:-81.01153#,0.99999,10,2.38
25.96574:-80.18223#117,1,10,2.16
28.51566:-81.48300#,1,10,1.91
26.32802:-80.25300#,0.97127,10,1.9
30.27836:-81.75486#306,1,10,1.64
26.16705:-80.10963#,1,10,1.62
26.16670:-80.26273#,1,10,1.54
25.77911:-80.26057#,1,10,1.53
29.87356:-81.32299#,1,10,1.42
27.94519:-82.52123#,1,10,1.39
27.94504:-82.50101#,1,10,1.35
26.11925:-80.25119#,1,10,1.34
29.28428:-81.08411#,0.60262,10,1.27
26.26203:-80.20101#,1,10,1.26
28.45131:-81.39463#,1,10,1.26
26.10741:-80.14064#,1,10,1.25
26.64586:-80.14470#,1,10,1.25
28.42013:-81.46203#,1,10,1.21
28.45825:-81.46952#105,0.99999,10,1.2
26.04794:-80.17483#,1,10,1.1
27.25433:-82.51487#,1,10,1.1
26.35098:-80.07429#,1,10,1
26.16503:-80.17918#20,1,10,0.98
26.02559:-80.22682#,1,10,0.81
26.30681:-80.09441#,1,9,4
26.22463:-80.25218#,0.99997,9,3
28.05210:-82.50476#,1,9,2.48
26.56231:-81.94716#,1,9,2.27
25.99471:-80.20610#,1,9,1.94
26.68307:-80.05432#,1,9,1.88
25.76316:-80.31150#,1,9,1.86
26.63330:-80.14445#,1,9,1.73
26.65085:-80.09748#,1,9,1.47
26.58255:-81.87762#3,1,9,1.39
25.94155:-80.14768#,0.69436,9,1.3
28.61776:-81.44047#B5,1,9,1.26
27.63979:-80.50709#,1,9,1.22
26.16768:-80.11245#,1,9,1.21
25.81279:-80.36909#,0.99998,9,1.15
28.46176:-81.45663#,1,9,1.09
25.89176:-80.16235#,1,9,1.08
30.30828:-81.74165#,1,9,1.08
26.01158:-80.15029#,1,9,1.06
28.66167:-81.38314#,1,9,0.92
26.93459:-80.12549#103,1,9,0.86
26.16895:-80.10181#,1,8,3.33
27.26984:-82.49691#,1,8,2.43
26.34675:-80.08652#,1,8,2.38
26.84538:-80.06139#,1,8,1.75
26.00287:-80.21028#,1,8,1.72
27.94455:-82.49758#,1,8,1.58
25.73310:-80.33107#,1,8,1.57
25.80993:-80.31556#,1,8,1.54
25.76392:-80.28209#,1,8,1.48
26.23121:-80.11458#12,1,8,1.41
28.04822:-82.50384#,1,8,1.41
26.17523:-80.14710#,1,8,1.4
27.94521:-82.50923#,1,8,1.37
25.96539:-80.18172#204,1,8,1.34
27.40742:-82.56906#,1,8,1.33
29.65491:-82.38491#,0.99997,8,1.33
26.20401:-80.14796#,1,8,1.32
26.70827:-80.12090#,1,8,1.32
28.42783:-81.40405#,1,8,1.32
25.99564:-80.21615#,1,8,1.31
25.95730:-80.14507#,0.50035,8,1.3
27.87936:-82.78618#,1,8,1.24
27.82126:-82.71518#,1,8,1.22
26.58677:-80.05923#,1,8,1.21
28.25350:-82.72660#,1,8,1.16
26.28899:-80.11009#,1,8,1.14
28.12220:-82.73824#,1,8,1.14
29.17596:-81.02552#9,1,8,1.08
25.73222:-80.33098#,1,8,1.03
28.33910:-81.39447#,1,8,1
30.40114:-86.87854#,1,8,0.9
26.23215:-80.11793#,1,8,0.8
28.03525:-82.65503#,1,8,0.7
26.17208:-80.13177#,1,7,2.06
26.04585:-80.23862#,1,7,1.89
27.95182:-82.50342#,1,7,1.86
25.98613:-80.13707#,1,7,1.85
25.94836:-80.14824#,1,7,1.8
27.87472:-82.72851#,1,7,1.78
25.76856:-80.36345#,1,7,1.76
25.99730:-80.14837#,1,7,1.71
27.27005:-82.46589#,1,7,1.69
27.89236:-82.68441#,1,7,1.66
27.87766:-82.78681#,1,7,1.58
28.08135:-82.73991#,1,7,1.5
28.10188:-82.73916#,1,7,1.46
26.18944:-80.10577#,1,7,1.37
30.26424:-81.60646#101,1,7,1.28
25.77332:-80.32799#,1,7,1.26
26.22303:-80.20434#,1,7,1.25
30.27891:-81.60209#,1,7,1.25
26.45824:-80.10703#,1,7,1.24
26.31699:-80.09139#,1,7,1.19
26.18907:-80.15650#,1,7,1.18
26.35545:-80.08672#10,1,7,1.14
28.07051:-82.74094#,1,7,1.14
25.13326:-80.40691#,1,7,1
26.21773:-80.15547#,0.99999,7,1
28.33431:-81.48074#,1,7,1
26.23163:-80.16025#202,1,7,0.95
25.60428:-80.41438#,0.99999,7,0.94
26.46013:-80.12480#,0.8039,7,0.94
26.16631:-80.14215#,1,7,0.92
26.60936:-80.14607#,1,7,0.92
25.59711:-80.37654#,1,7,0.9
25.71475:-80.36645#,0.99995,7,0.88
27.92001:-82.49492#,0.95722,7,0.85
28.11838:-82.38175#,1,7,0.83
28.66787:-81.31243#,0.99999,7,0.82
28.44487:-81.47570#,1,7,0.76
27.75583:-82.75969#,1,7,0.74
27.96021:-82.72190#,1,7,0.72
28.37332:-80.70173#22,0.62221,7,0.6
28.83899:-82.04627#,1,7,0.57
28.13334:-80.67134#,1,6,1.58
25.73355:-80.29286#,1,6,1.57
28.81784:-81.76698#,0.99992,6,1.57
25.73157:-80.36545#,1,6,1.54
26.00839:-80.37289#,0.99989,6,1.54
28.64481:-81.35388#,1,6,1.54
25.88310:-80.32152#138,0.99999,6,1.5
28.04611:-81.95536#,0.59776,6,1.4
30.28839:-81.45380#,1,6,1.36
26.37019:-80.08422#,1,6,1.31
27.91717:-82.77834#P,1,6,1.31
25.98567:-80.15448#,1,6,1.3
25.85496:-80.12911#,1,6,1.26
26.31938:-80.10011#,1,6,1.26
26.58005:-81.87268#,1,6,1.26
26.23191:-80.10430#,1,6,1.25
25.92620:-80.16660#,1,6,1.24
28.55398:-81.36379#5,1,6,1.17
25.79619:-80.32388#18,1,6,1.14
27.83490:-82.63829#,0.75227,6,1.14
28.55320:-81.39380#,1,6,1.14
28.45085:-81.46629#,1,6,1.1
30.27877:-81.55842#,1,6,1.1
28.28447:-82.71430#,1,6,1.09
26.51412:-80.08058#,1,6,1.08
28.35836:-80.61016#,1,6,1.07
26.66558:-80.08766#,1,6,1.06
26.20439:-81.79959#26,0.99999,6,1.05
27.25852:-82.51727#,1,6,1.04
28.07937:-80.67738#,1,6,1.03
26.01079:-80.16406#,1,6,1
26.16475:-80.17632#,1,6,1
26.80827:-80.06995#,1,6,1
28.35663:-81.49464#,1,6,1
28.44811:-81.40068#900,0.99999,6,1
28.55280:-81.39031#,1,6,1
27.63903:-80.39351#,1,6,0.97
28.23133:-82.72947#,1,6,0.97
28.55447:-81.31873#,1,6,0.95
27.99587:-82.44652#,1,6,0.92
27.93967:-82.48342#,0.69367,6,0.9
26.01002:-80.19025#,1,6,0.87
27.39257:-82.54606#,1,6,0.87
26.17185:-80.25480#,1,6,0.86
26.14801:-80.26746#,0.99996,6,0.82
26.01007:-80.18894#,1,6,0.78
25.92526:-80.17957#,1,6,0.77
25.77847:-80.27135#,1,6,0.74
26.20377:-80.25155#,1,6,0.73
26.70626:-80.09603#,1,6,0.73
25.98561:-80.12454#S,1,6,0.69
26.10089:-80.12833#,0.99999,6,0.69
25.77520:-80.23880#17,1,6,0.66
28.60622:-81.37021#,1,6,0.64
28.21320:-80.66635#,1,6,0.62
28.55291:-81.36972#A,0.99999,6,0.6
25.74911:-80.25989#,0.77765,6,0.5
26.27300:-80.25811#,0.99998,6,0.43
