address,lic_id,correct_labels
"75 1st St S, St. Petersburg, FL 33701, USA",39767,0
"5150 Palm Valley Rd #201, Ponte Vedra Beach, FL 32082, USA",39069,0
"9801 Pines Blvd, Pembroke Pines, FL 33024, USA",39152,0
"259 4th Ave N, St. Petersburg, FL 33701, USA",39235,0
"1342 Colonial Blvd D27, Fort Myers, FL 33907, USA",2027,0
"720 S Village Cir, Tampa, FL 33606, USA",38934,0
"1220 20th St, Miami Beach, FL 33139, USA",39194,0
"561 N Semoran Blvd, Orlando, FL 32807, USA",39158,0
"1407 Belmonte Ave, Jacksonville, FL 32207, USA",39038,0
"6028 N U.S. Hwy 41, Apollo Beach, FL 33572, USA",31834,0
"3217 S Access Rd, Englewood, FL 34224, USA",39281,0
"917 W Fairbanks Ave, Winter Park, FL 32789, USA",39103,0
"1752 Sea Lark Ln, Navarre, FL 32566, USA",39167,0
"216 W Howry Ave, DeLand, FL 32720, USA",39275,0
"6702 Hanley Rd, Tampa, FL 33634, USA",39164,0
"5515 Vista View Way, Oviedo, FL 32765, USA",34931,0
"1016 New York Ave, St Cloud, FL 34769, USA",39125,0
"13102 Palm Beach Blvd Suite D, Fort Myers, FL 33905, USA",39245,0
"4243 W Hillsboro Blvd, Coconut Creek, FL 33073, USA",39241,0
"1032 Goodlette-Frank Rd, Naples, FL 34102, USA",35231,0
"115 Taylor St, Punta Gorda, FL 33950, USA",39242,0
"2547 Countryside Blvd #3, Clearwater, FL 33761, USA",39104,0
"18734 Cortez Blvd, Brooksville, FL 34601, USA",39124,0
"1628 San Marco Blvd, Jacksonville, FL 32207, USA",39177,0
"3223 Ocean Dr, Vero Beach, FL 32963, USA",39234,0
"483 Mariner Blvd, Spring Hill, FL 34609, USA",39159,0
"2117 S Tamiami Trail, Venice, FL 34293, USA",34025,0
"36402 US Hwy 19 N, Palm Harbor, FL 34684, USA",38880,0
"3505 Bobcat Village Center Rd, North Port, FL 34288, USA",39120,0
"1014 Gateway Blvd #104, Boynton Beach, FL 33426, USA",39351,0
"1 St Johns Medical Park Dr, St. Augustine, FL 32086, USA",33471,0
"2359 Vanderbilt Beach Rd, Naples, FL 34109, USA",39301,0
"1341 Oakfield Dr, Brandon, FL 33511, USA",39346,0
"1706 S Dale Mabry Hwy, Tampa, FL 33629, USA",39445,0
"1105 7th Ave N, St. Petersburg, FL 33705, USA",39263,0
"10064 W Indiantown Rd, Jupiter, FL 33478, USA",39186,0
"8726 NW 26th St #12, Doral, FL 33172, USA",29989,0
"111 E 1st St, Sanford, FL 32771, USA",35402,0
"90 Indian Trace, Weston, FL 33326, USA",39338,0
"The Grand Doubletree, 1717 N Bayshore Dr, Miami, FL 33132, USA",31587,0
"15600 Panama City Beach Pkwy #800, Panama City Beach, FL 32413, USA",39250,0
"1720 S McCall Rd, Englewood, FL 34223, USA",39342,0
"12705 Race Track Rd, Tampa, FL 33626, USA",39405,0
"328 Milwaukee Ave, Orange Park, FL 32073, USA",39341,0
"5701 21st Ave W, Bradenton, FL 34209, USA",22760,0
"1801 Oglesby Ave, Winter Park, FL 32789, USA",39417,0
"1109 Seminole Dr, Rockledge, FL 32955, USA",39130,0
"1886 S 14th St, Fernandina Beach, FL 32034, USA",39444,0
"2203 Hillcrest St, Orlando, FL 32803, USA",39140,0
"2936 Del Prado Blvd S, Cape Coral, FL 33904, USA",39422,0
"1501 E Irlo Bronson Memorial Hwy, St Cloud, FL 34771, USA",39214,0
"1342 Colonial Blvd, Fort Myers, FL 33907, USA",38850,0
"6202 Presidential Ct, Fort Myers, FL 33919, USA",38822,0
"8359 Beacon Blvd, Fort Myers, FL 33907, USA",38790,0
"11018 Old St Augustine Rd, Jacksonville, FL 32257, USA",15545,0
"353 N Swinton Ave, Delray Beach, FL 33444, USA",32222,0
"4206 Northlake Blvd, Palm Beach Gardens, FL 33410, USA",38999,0
"2714 S MacDill Ave, Tampa, FL 33629, USA",39044,0
"10114 S Military Trail, Boynton Beach, FL 33436, USA",38854,0
"400 4th St N, St. Petersburg, FL 33701, USA",31912,0
"120 Sea Grove Main St, St. Augustine, FL 32080, USA",31312,0
"222 NW 45th St, Oakland Park, FL 33309, USA",38400,0
"3804 Northlake Blvd, Palm Beach Gardens, FL 33403, USA",32371,0
"25241 Elementary Way, Bonita Springs, FL 34135, USA",38956,0
"4141 S Tamiami Trail, Sarasota, FL 34231, USA",36509,0
"231 Ruby Ave SUITE D, Kissimmee, FL 34741, USA",34141,0
"279 107th Ave, Treasure Island, FL 33706, USA",38662,0
"6400 N Davis Hwy #8, Pensacola, FL 32504, USA",26710,0
"2330 Seven Springs Blvd, New Port Richey, FL 34655, USA",38681,0
"7932 W Sand Lake Rd #304, Sand Lake, FL 32819, USA",39052,0
"8855 San Jose Blvd, Jacksonville, FL 32217, USA",38792,0
"12185 W Linebaugh Ave, Westchase, FL 33626, USA",38799,0
"9260 Cortez Blvd, Spring Hill, FL 34613, USA",38921,0
"357 Wekiva Springs Rd, Longwood, FL 32779, USA",38802,0
"9930 Clint Moore Rd, Boca Raton, FL 33496, USA",38050,0
"1048 W Hwy 50, Clermont, FL 34711, USA",38824,0
"2720 W Woodview Ln, Lecanto, FL 34461, USA",39169,0
"9210 San Jose Blvd, Jacksonville, FL 32257, USA",34451,0
"2914 Beach Blvd S, Gulfport, FL 33707, USA",35024,0
"2219 Wilton Dr, Wilton Manors, FL 33305, USA",39059,0
"50 S Holiday Rd #400, Miramar Beach, FL 32550, USA",38857,0
"3730 Tampa Rd #3, Oldsmar, FL 34677, USA",39061,0
"9272 SW 40th St, Olympia Heights, FL 33165, USA",38900,0
"40 Island Ave, Miami Beach, FL 33139, USA",38695,0
"9069 4th St N, St. Petersburg, FL 33702, USA",39006,0
"2800 N Federal Hwy #2, Boca Raton, FL 33431, USA",39111,0
"6837 4th St N, St. Petersburg, FL 33702, USA",38937,0
"6420 N Central Ave, Tampa, FL 33604, USA",32153,0
"3214 SE Federal Hwy, Stuart, FL 34997, USA",38630,0
"1781 Dunlawton Ave, Port Orange, FL 32127, USA",38906,0
"230 E Marks St, Orlando, FL 32803, USA",38946,0
"12144 Cortez Blvd, Brooksville, FL 34613, USA",37205,0
"7375 SW 24th St, Miami, FL 33155, USA",39021,0
"1122 Riverside Dr, Holly Hill, FL 32117, USA",39136,0
"2100 NW 42nd Ave, Miami, FL 33126, USA",39157,0
"5586 Broadcast Ct, Sarasota, FL 34240, USA",38995,0
"3715 W Horatio St, Tampa, FL 33609, USA",31299,0
"525 4th St N, Jacksonville Beach, FL 32250, USA",28281,0
"5011 Ocean Blvd #202, Siesta Key, FL 34242, USA",31842,0
"7046 Mariner Blvd, Spring Hill, FL 34609, USA",8398,0
"11921 S Dixie Hwy #200, Pinecrest, FL 33156, USA",30902,0
"1043 Jenks Ave, Panama City, FL 32401, USA",34388,0
"4947 Tamiami Trail N, Naples, FL 34103, USA",13514,0
"100 Chopin Plaza, Miami, FL 33131, USA",30010,0
"1414 Gay Rd, Winter Park, FL 32789, USA",35276,0
"8101 World Center Dr, Orlando, FL 32821, USA",20925,0
"S Palm Dr, Pembroke Pines, FL 33025, USA",34095,0
"1900 Dr M.L.K. Jr St N, St. Petersburg, FL 33704, USA",27759,0
"17820 SE 109th Ave, Summerfield, FL 34491, USA",34057,0
"615 SW Camden Ave, Stuart, FL 34994, USA",26185,0
"2348 Pine Ridge Rd, Naples, FL 34105, USA",33176,0
"112 Bridge St, Bradenton Beach, FL 34217, USA",27360,0
"4535 Hollywood Blvd, Hollywood, FL 33021, USA",30591,0
"236 Harbor Blvd, Destin, FL 32541, USA",38450,0
"1389 Florida Mall Ave, Orlando, FL 32809, USA",35961,0
"805 Sebastian Blvd #2, Sebastian, FL 32958, USA",33306,0
"7243 Forest Oaks Blvd, Spring Hill, FL 34606, USA",35754,0
"1740 Main St, Sarasota, FL 34236, USA",35282,0
"3830 S Hwy A1A, Melbourne Beach, FL 32951, USA",32777,0
"7720 Excitement Dr, Reunion, FL 34747, USA",34417,0
"9520 Bonita Beach Rd SE, Bonita Springs, FL 34135, USA",30008,0
"19040 Bruce B Downs Blvd, Tampa, FL 33647, USA",35490,0
"13170 Atlantic Blvd, Jacksonville, FL 32225, USA",31031,0
"551 N Park Ave, Apopka, FL 32712, USA",26562,0
"3862 Central Ave, St. Petersburg, FL 33711, USA",37055,0
"804 Margaret St, Jacksonville, FL 32204, USA",35442,0
"520 Collins Ave, Miami Beach, FL 33139, USA",16105,0
"205, 15714 N Dale Mabry Hwy, Tampa, FL 33618, USA",34257,0
"3002 W Azeele St, Tampa, FL 33609, USA",38363,0
"110 N Federal Hwy #204, Hallandale Beach, FL 33009, USA",35129,0
"5939 S University Dr, Davie, FL 33328, USA",33631,0
"301 Orange Ave, Fort Pierce, FL 34950, USA",38017,0
"181 W Broadway St, Oviedo, FL 32765, USA",25624,0
"2221 Santa Barbara Blvd, Cape Coral, FL 33991, USA",29528,0
"22982 Overseas Hwy, Cudjoe Key, FL 33042, USA",28846,0
"33649 US Hwy 19 N, Palm Harbor, FL 34684, USA",38687,0
"600 N Atlantic Ave, Daytona Beach, FL 32118, USA",24158,0
"8317 Front Beach Rd STE 7, Panama City Beach, FL 32407, USA",34315,0
"2975 Bobcat Village Center Rd #300, North Port, FL 34288, USA",34303,0
"5861 Cortez Rd W, Bradenton, FL 34210, USA",32924,0
"4067 S Tamiami Trail, Sarasota, FL 34231, USA",32340,0
"12360 66th St N, Largo, FL 33773, USA",35157,0
"8600 W State Rd 84, Davie, FL 33324, USA",33995,0
"6260 66th St N, Pinellas Park, FL 33781, USA",35466,0
"2134 NE 123rd St, Miami, FL 33181, USA",29713,0
"5255 Ocean Blvd, Siesta Key, FL 34242, USA",27299,0
"813 US-1, Lake Park, FL 33403, USA",34653,0
"400 S Collier Blvd, Marco Island, FL 34145, USA",13435,0
"1525 W Broadway St, Oviedo, FL 32765, USA",36592,0
"10000 W Sample Rd, Coral Springs, FL 33065, USA",33981,0
"3210 Cypress Gardens Rd, Winter Haven, FL 33884, USA",38707,0
"4130 Pine Island Rd, Matlacha, FL 33993, USA",32308,0
"127 N New Warrington Rd, Pensacola, FL 32506, USA",38820,0
"4001 Swift Rd, Sarasota, FL 34231, USA",32627,0
"401 Tompkins St, Inverness, FL 34450, USA",29297,0
"400 E Palm Ave, Tampa, FL 33602, USA",34227,0
"6549 Superior Ave, Sarasota, FL 34231, USA",38791,0
"10328 W Flagler St, Miami, FL 33174, USA",38849,0
"869 Stockton St #8, Jacksonville, FL 32204, USA",38721,0
"411 W New England Ave, Winter Park, FL 32789, USA",38251,0
"2800 S Ocean Blvd, Palm Beach, FL 33480, USA",30015,0
"206 E McNab Rd, Pompano Beach, FL 33060, USA",38689,0
"1466 E Bloomingdale Ave, Valrico, FL 33596, USA",20990,0
"5615 US Hwy 98 N, Lakeland, FL 33809, USA",28376,0
"141 S Barfield Dr, Marco Island, FL 34145, USA",38604,0
"1700 W International Speedway Blvd, Daytona Beach, FL 32114, USA",33290,0
"21635 Village Lakes Shopping Center Dr, Land O Lakes, FL 34639, USA",38684,0
"855 E State Rd 434, Winter Springs, FL 32708, USA",33587,0
"2611 Mall Dr, Sarasota, FL 34231, USA",32480,0
"120 Gateway Cir #2, St Johns, FL 32259, USA",38412,0
"30368 Overseas Hwy, Big Pine Key, FL 33043, USA",34387,0
"7124 SE Osprey St, Hobe Sound, FL 33455, USA",31498,0
"1224 NE 4th Ave, Fort Lauderdale, FL 33304, USA",33438,0
"1852 Renzulli Rd, New Smyrna Beach, FL 32168, USA",31774,0
"5445 Murrell Rd STE 103, Rockledge, FL 32955, USA",38692,0
"8318 Market St, Bradenton, FL 34202, USA",38672,0
"4800 26th St W, Bradenton, FL 34207, USA",38732,0
"3333 Cleveland Heights Blvd, Lakeland, FL 33803, USA",33757,0
"5926 Premier Way #134, Naples, FL 34109, USA",22092,0
"306 Laurel Rd E, Nokomis, FL 34275, USA",38530,0
"1025 N Nova Rd #106, Daytona Beach, FL 32117, USA",38734,0
"322 SW 145th Terrace, Pembroke Pines, FL 33027, USA",32903,0
"12950 Race Track Rd, Tampa, FL 33626, USA",19283,0
"5211 Manatee Ave W, Bradenton, FL 34209, USA",32911,0
"4205 NW 16th Blvd, Gainesville, FL 32605, USA",38694,0
"851 S State Rd 434, Altamonte Springs, FL 32714, USA",32636,0
"8001 S Orange Blossom Trail, Orlando, FL 32809, USA",33451,0
"1266 S Tamiami Trail, Osprey, FL 34229, USA",34477,0
"2600 W 9 Mile Rd, Pensacola, FL 32534, USA",33952,0
"955 Registry Blvd, St. Augustine, FL 32092, USA",38529,0
"28410 Bonita Crossings Blvd, Bonita Springs, FL 34135, USA",35679,0
"1112 W Platt St, Tampa, FL 33606, USA",33283,0
"1206 E Atlantic Ave, Delray Beach, FL 33483, USA",30515,0
"12160 S Shore Blvd, Wellington, FL 33414, USA",30752,0
"9 Fillmore Dr, Sarasota, FL 34236, USA",38759,0
"2480 E Bay Dr #13, Largo, FL 33771, USA",34853,0
"13725 N Dale Mabry Hwy, Tampa, FL 33618, USA",35912,0
"1324b Lake Baldwin Ln, Orlando, FL 32814, USA",37938,0
"122 Middle St, Lake Mary, FL 32746, USA",32472,0
"9365 US Hwy 19 N Suite B, Pinellas Park, FL 33782, USA",38101,0
"3315 Henderson Blvd, Tampa, FL 33609, USA",35238,0
"1540 S McCall Rd, Englewood, FL 34223, USA",38042,0
"10 Royal Palm Pointe, Vero Beach, FL 32960, USA",8873,0
"EspÃ­rito Santo Plaza, 1395 Brickell Ave, Miami, FL 33131, USA",37955,0
"2727 NW 43rd St, Gainesville, FL 32606, USA",10855,0
"425 Avalon Park S Blvd #600, Orlando, FL 32828, USA",35588,0
"611 Market St, St. Augustine, FL 32095, USA",34433,0
"10428 US-19, Port Richey, FL 34668, USA",36941,0
"1490 Palm Coast Pkwy NW, Palm Coast, FL 32137, USA",37918,0
"8721 Ortega Park Dr, Navarre, FL 32566, USA",30857,0
"1901 Collins Ave, Miami Beach, FL 33139, USA",32151,0
"30669 US Hwy 19 N, Palm Harbor, FL 34684, USA",35386,0
"9703 Collins Ave, Bal Harbour, FL 33154, USA",32031,0
"2208 1/2 NE 123rd St #2180, Miami, FL 33181, USA",37903,0
"11402 NW 41st St, Doral, FL 33178, USA",30971,0
"2759 S Ridgewood Ave, South Daytona, FL 32119, USA",37927,0
"417 Racetrack Rd NW, Fort Walton Beach, FL 32547, USA",14267,0
"A1A N, Ponte Vedra Beach, FL 32082, USA",35560,0
"6700 Conroy Rd, Orlando, FL 32835, USA",36606,0
"1000 E Robinson St, Orlando, FL 32801, USA",38535,0
"6705 W Waters Ave, Tampa, FL 33634, USA",32615,0
"633 E Baldwin Rd, Panama City, FL 32405, USA",35579,0
"480 North Orlando Avenue #110, Maitland, FL 32751, USA",28595,0
"3085 S Federal Hwy, Delray Beach, FL 33483, USA",35852,0
"7000 S Dixie Hwy, West Palm Beach, FL 33405, USA",36844,0
"5300 NW 87th Ave, Doral, FL 33178, USA",35537,0
"1400 Palm Bay Rd NE, Palm Bay, FL 32905, USA",38003,0
"1513 James L Redman Pkwy, Plant City, FL 33563, USA",38055,0
"2500 SW 37th Ave, Miami, FL 33134, USA",35784,0
"1222 SE 47th St, Cape Coral, FL 33904, USA",35808,0
"917 N Pennsylvania Ave, Winter Park, FL 32789, USA",30412,0
"451 4th St N, St. Petersburg, FL 33701, USA",33993,0
"213 N Parsons Ave, Brandon, FL 33510, USA",35503,0
"13224 W Broward Blvd, Plantation, FL 33325, USA",34081,0
"10945 N Military Trl, Palm Beach Gardens, FL 33418, USA",38176,0
"3335 NW Treasure Coast Dr, Jensen Beach, FL 34957, USA",38266,0
"7000 SW 62nd Ave, South Miami, FL 33143, USA",24286,0
"13790 Bridgewater Crossings Blvd, Windermere, FL 34786, USA",34027,0
"3915 A1A S #104, St. Augustine, FL 32080, USA",34148,0
"451 E Altamonte Dr, Altamonte Springs, FL 32701, USA",33115,0
"111 Grand Palms Dr, Hollywood, FL 33027, USA",32487,0
"7310 Central Ave, St. Petersburg, FL 33707, USA",32977,0
"383 N Alafaya Trail, Orlando, FL 32828, USA",22690,0
"3699 Airport-Pulling Rd, Naples, FL 34105, USA",27954,0
"15200 Jog Rd, Delray Beach, FL 33446, USA",17659,0
"5100 N 9th Ave, Pensacola, FL 32504, USA",8038,0
"1101 10th Ave W, Bradenton, FL 34205, USA",38096,0
"1900 Okeechobee Blvd, West Palm Beach, FL 33409, USA",34904,0
"194 E Granada Blvd, Ormond Beach, FL 32176, USA",4220,0
"1004 Bichara Blvd, The Villages, FL 32159, USA",32461,0
"1045 SE Ocean Blvd #1, Stuart, FL 34996, USA",32616,0
"1813 E John Sims Pkwy, Niceville, FL 32578, USA",24265,0
"5463 Gateway Village Cir #102, Orlando, FL 32812, USA",32707,0
"2000 Estero Blvd, Fort Myers Beach, FL 33931, USA",23593,0
"1467 S University Dr, Plantation, FL 33324, USA",37995,0
"625 S Ft Harrison Ave, Clearwater, FL 33756, USA",35351,0
"14424 N Dale Mabry Hwy, Tampa, FL 33618, USA",34246,0
"7536 N Dale Mabry Hwy, Tampa, FL 33614, USA",37961,0
"2345 Bee Ridge Rd, Sarasota, FL 34239, USA",38270,0
"1200 N University Dr, Plantation, FL 33322, USA",32291,0
"2 Independent Dr, Jacksonville, FL 32202, USA",31469,0
"2950 Tamiami Trail N, Naples, FL 34103, USA",37440,0
"2006 Town Plaza Ct, Winter Springs, FL 32708, USA",31243,0
"6318 Trail Blvd, Naples, FL 34108, USA",33491,0
"6051 Estero Blvd, Fort Myers Beach, FL 33931, USA",30205,0
"134 California Blvd, Davenport, FL 33897, USA",37610,0
"1510 SE 46th Ln, Cape Coral, FL 33904, USA",19334,0
"651 S Collier Blvd, Marco Island, FL 34145, USA",8361,0
"935 N Beneva Rd #713, Sarasota, FL 34232, USA",37631,0
"2927 SW High Meadow Ave, Palm City, FL 34990, USA",37394,0
"3448 Lithia Pinecrest Rd, Valrico, FL 33596, USA",35290,0
"306 E Lake Rd S, Palm Harbor, FL 34685, USA",31403,0
"146 N Nova Rd, Ormond Beach, FL 32174, USA",37577,0
"2245 49th St N, St. Petersburg, FL 33710, USA",36204,0
