Board_Action_Indicator,Business_Name,County,County_Description,Email,Expire_Date,License_Active_Status_Description,License_Number,License_Status_Description,Mailing_Address_Area_Code,Mailing_Address_City,Mailing_Address_Line1,Mailing_Address_Phone_Extension,Mailing_Address_Phone_Number,Mailing_Address_State,Mailing_Address_ZIPcode,Mailing_Address_line2,Original_Date,Practice_Location_Address_City,Practice_Location_Address_Line1,Practice_Location_Address_State,Practice_Location_Address_ZIPcode,Practice_Location_Address_line2,Prescribe_Ind,Profession_Name,Rank_Code,Status_Effective_Date,address,address_administrative_area_level_1,address_administrative_area_level_2,address_country,address_formatted_address,address_lat,address_locality,address_lon,address_msg,address_neighborhood,address_postal_code,address_postal_code_suffix,address_route,address_street_number,address_subpremise,id,norm_id,index,lic_id,labels,correct_labels
N,"Gigi's Dream, LLC",62,PINELLAS,gingerlett@gmail.com,8/31/19,,38142,CLEAR,727,SAINT PETERSBURG,4665 Mirabella Ct,,642-1312,FL,33706,,6/7/18,SAINT PETERSBURG,75 First Street South,FL,33701,,N,Massage Establishment,MM,6/7/18,"75 First Street South, SAINT PETERSBURG, FL 33701",Florida,Pinellas County,United States,"75 1st St S, St. Petersburg, FL 33701, USA",27.7707007,St. Petersburg,-82.6341663,OK,Waterfront Arts District,33701,,1st Street South,75,,27.77070:-82.63417,27.77070:-82.63417#,massage,39767,0,0
N,Harmonious Bliss Life Coaching & Bodywork LLC,26,DUVAL,harmoniousbliss@live.com,8/31/19,,37469,CLEAR,904,JACKSONVILLE,8787 Southside Blvd,,310-2945,FL,32256,Apt 6311,12/20/17,PONTE VEDRA BEACH,5150 PALM VALLEY RD STE 201,FL,32082,,N,Massage Establishment,MM,12/20/17,"5150 PALM VALLEY RD STE 201, PONTE VEDRA BEACH, FL 32082",Florida,St. Johns County,United States,"5150 Palm Valley Rd #201, Ponte Vedra Beach, FL 32082, USA",30.1871595,Ponte Vedra Beach,-81.3872048,OK,,32082,,Palm Valley Road,5150,201,30.18716:-81.38720,30.18716:-81.38720#201,massage,39069,0,0
N,MASSAGE U SPA INC,16,BROWARD,,8/31/19,,37993,CLEAR,504,PEMBROKE PINES,9801-B PINES BLVD,,701-2445,FL,33024,,5/2/18,PEMBROKE PINES,9801-B PINES BLVD,FL,33024,,N,Massage Establishment,MM,5/2/18,"9801-B PINES BLVD, PEMBROKE PINES, FL 33024",Florida,Broward County,United States,"9801 Pines Blvd, Pembroke Pines, FL 33024, USA",26.0091584,Pembroke Pines,-80.2757748,OK,,33024,6140,Pines Boulevard,9801,,26.00916:-80.27577,26.00916:-80.27577#,massage,39152,0,0
N,"Jean Riccio, LMT, MFR, NMT",62,PINELLAS,hellojeanriccio@gmail.com,8/31/19,,37638,CLEAR,727,SAINT PETERSBURG,1200 North Shore Dr NE,,642-2518,FL,33701,unit 515,2/1/18,SAINT PETERSBURG,259 4th Ave N,FL,33701,,N,Massage Establishment,MM,2/1/18,"259 4th Ave N, SAINT PETERSBURG, FL 33701",Florida,Pinellas County,United States,"259 4th Ave N, St. Petersburg, FL 33701, USA",27.7766659,St. Petersburg,-82.6368438,OK,Downtown,33701,2911,4th Avenue North,259,,27.77667:-82.63684,27.77667:-82.63684#,massage,39235,0,0
N,TIFFANY'S INTERNATIONAL SALON,46,LEE,tiffintlsa@aol.com,8/31/19,,5775,CLEAR,239,FORT MYERS,1342 COLONIAL BLVD,,362-1347,FL,33907,SUITE D27,4/6/95,FORT MYERS,1342 COLONIAL BLVD D27,FL,33907,,N,Massage Establishment,MM,12/6/17,"1342 COLONIAL BLVD D27, FORT MYERS, FL 33907",Florida,Lee County,United States,"1342 Colonial Blvd D27, Fort Myers, FL 33907, USA",26.5949765,Fort Myers,-81.889653,OK,,33907,,Colonial Boulevard,1342,D27,26.59498:-81.88965,26.59498:-81.88965#D27,massage,2027,0,0
N,Level Salon Inc,39,HILLSBOROUGH,rebekah@levelsalon.com,8/31/19,,37938,CLEAR,813,TAMPA,720 South Village Circle,,254-0404,FL,33606,,4/18/18,TAMPA,720 s village cir,FL,33606,,N,Massage Establishment,MM,4/18/18,"720 s village cir, TAMPA, FL 33606",Florida,Hillsborough County,United States,"720 S Village Cir, Tampa, FL 33606, USA",27.9361073,Tampa,-82.475205,OK,Hyde Park,33606,,South Village Circle,720,,27.93611:-82.47520,27.93611:-82.47520#,massage,38934,0,0
N,Erato&Zo,23,MIAMI-DADE,galina7j@yahoo.com,8/31/19,,37635,CLEAR,561,MIAMI BEACH,8233 Harding ave # 401,,809-5279,FL,33141,,1/31/18,MIAMI BEACH,1220 20th Street,FL,33139,,N,Massage Establishment,MM,1/31/18,"1220 20th Street, MIAMI BEACH, FL 33139",Florida,Miami-Dade County,United States,"1220 20th St, Miami Beach, FL 33139, USA",25.7952922,Miami Beach,-80.1418028,OK,Bayshore,33139,,20th Street,1220,,25.79529:-80.14180,25.79529:-80.14180#,massage,39194,0,0
N,GOLDEN GATE GLOBAL LLC,58,ORANGE,chrisepiclv@gmail.com,8/31/21,,37667,CLEAR,702,ORLANDO,2104 IRISE CT,,860-5662,FL,32807,SUITE 105,2/8/18,ORLANDO,561 N SEMORAN BLVD,FL,32807,,N,Massage Establishment,MM,2/8/18,"561 N SEMORAN BLVD, ORLANDO, FL 32807",Florida,Orange County,United States,"561 N Semoran Blvd, Orlando, FL 32807, USA",28.5510433,Orlando,-81.3103922,OK,,32807,3342,North Semoran Boulevard,561,,28.55104:-81.31039,28.55104:-81.31039#,massage,39158,0,0
N,Sara Albritton,26,DUVAL,sara@sarapeuticbodyworks.com,8/31/19,,37705,CLEAR,910,JACKSONVILLE,1407 Belmonte Avenue,,330-7512,FL,32207,,2/19/18,JACKSONVILLE,1407 Belmonte Avenue,FL,32207,,N,Massage Establishment,MM,2/19/18,"1407 Belmonte Avenue, JACKSONVILLE, FL 32207",Florida,Duval County,United States,"1407 Belmonte Ave, Jacksonville, FL 32207, USA",30.311905,Jacksonville,-81.6582352,OK,San Marco,32207,8504,Belmonte Avenue,1407,,30.31191:-81.65824,30.31191:-81.65824#,massage,39038,0,0
N,"THE MASSAGE CENTER-APOLLO BEACH, LLC",39,HILLSBOROUGH,info@abeachmassagecenter.com,8/31/19,,31782,CLEAR,813,APOLLO BEACH,6028 US Hwy 41 N,,495-1906,FL,33572,,12/5/13,APOLLO BEACH,6028 US HWY 41 North,FL,33572,,N,Massage Establishment,MM,1/4/18,"6028 US HWY 41 North, APOLLO BEACH, FL 33572",Florida,Hillsborough County,United States,"6028 N U.S. Hwy 41, Apollo Beach, FL 33572, USA",27.764388,Apollo Beach,-82.3960437,OK,,33572,,North U.S. Highway 41,6028,,27.76439:-82.39604,27.76439:-82.39604#,massage,31834,0,0
