Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status
1000 FINGERS MASSAGE LLC,604 361 074,WA LIMITED LIABILITY COMPANY,"170 S LINCOLN ST STE 100, SPOKANE, WA, 99201-4443, UNITED STATES","WASHINGTON REGISTERED AGENT, LLC.",Active
"12TH AVE. MASSAGE & WELLNESS, LLC",603 272 670,WA LIMITED LIABILITY COMPANY,"6121 12TH AVE NE, SEATTLE, WA, 98115, UNITED STATES",ALIZA WINSHIP-FREYER,Administratively Dissolved
"3-CITIES ON-SITE MASSAGE, INC.",601 755 627,WA PROFIT CORPORATION,"818 N REED PL, KENNEWICK, WA, 99336-2379, UNITED STATES",SUSANNE M STEEL,Active
"360 MASSAGE, PLLC",604 121 361,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"17410 133RD AVE NE #302, WOODINVILLE, WA, 98072, UNITED STATES",ERIN MARIE HORN,Active
"5X5 MASSAGE & DEVELOPMENT, INC.",602 249 701,WA PROFIT CORPORATION,,STEVEN W NICKERSON,Inactive
88 FOOT SPA AND MASSAGE LLC,603 585 210,WA LIMITED LIABILITY COMPANY,"16720 REDMOND WAY #C, REDMOND, WA, 98052, UNITED STATES",WILLIAM STANSFIELD,Active
"8TH AVE CHIROPRACTIC AND MASSAGE, LLC",603 240 502,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"6204 8TH AVE NW, SEATTLE, WA, 98107, UNITED STATES",DAVID H HOATS D.C.,Administratively Dissolved
A BEAR MASSAGE LLC,602 576 227,WA LIMITED LIABILITY COMPANY,"29849 48TH AVE S, AUBURN, WA, 98001, UNITED STATES",ALEXANDER BREWER,Inactive
A BEAUTIFUL LIFE MASSAGE AND WELLNESS CENTER INC,602 930 330,WA PROFIT CORPORATION,"PO BOX 871154, VANCOUVER, WA, 98687, UNITED STATES",RUBY OLSEN,Inactive
"A BETTER PLACE MASSAGE, LLC",602 777 120,WA LIMITED LIABILITY COMPANY,"NE 31ST PL, REDMOND, WA, 98073, UNITED STATES",DONNA MCMACKIN,Inactive
